"ProjectName","RepositoryName","RepositoryId","AlertId","AlertType","Title","Severity","State","Tool","FirstDetectionDate","LastDetectionDate","IntroductionDate","GitRef","Confidence"
"FinOps","finops-demo-app-002","27785941-a1ad-4c9b-bd5f-3f135bb0c4a4","1527","code","Configure a dedicated path for health probe requests. (Azure.AppService.WebProbePath)","error","active","PSRule","2026-03-30 8:55:54 PM","2026-03-30 8:55:54 PM",,"refs/heads/main",
"FinOps","finops-demo-app-002","27785941-a1ad-4c9b-bd5f-3f135bb0c4a4","1526","code","Configure and enable instance health probes. (Azure.AppService.WebProbe)","error","active","PSRule","2026-03-30 8:55:54 PM","2026-03-30 8:55:54 PM",,"refs/heads/main",
"FinOps","finops-demo-app-002","27785941-a1ad-4c9b-bd5f-3f135bb0c4a4","1525","code","Use HTTP/2 instead of HTTP/1.x to improve protocol efficiency. (Azure.AppService.HTTP2)","error","active","PSRule","2026-03-30 8:55:54 PM","2026-03-30 8:55:54 PM",,"refs/heads/main",
"FinOps","finops-demo-app-002","27785941-a1ad-4c9b-bd5f-3f135bb0c4a4","1524","code","Configure Always On for App Service apps. (Azure.AppService.AlwaysOn)","error","active","PSRule","2026-03-30 8:55:54 PM","2026-03-30 8:55:54 PM",,"refs/heads/main",
"FinOps","finops-demo-app-002","27785941-a1ad-4c9b-bd5f-3f135bb0c4a4","1523","code","App Service Plan should use a minimum number of instances for failover. (Azure.AppService.PlanInstanceCount)","error","active","PSRule","2026-03-30 8:55:54 PM","2026-03-30 8:55:54 PM",,"refs/heads/main",
"FinOps","finops-demo-app-002","27785941-a1ad-4c9b-bd5f-3f135bb0c4a4","1522","code","App Service Plan SKU is oversized for workload environment (OversizedAppServicePlan)","medium","active","custodian-to-sarif","2026-03-30 8:55:54 PM","2026-03-30 8:55:54 PM","2026-03-30 8:55:35 PM","refs/heads/main",
"FinOps","finops-demo-app-002","27785941-a1ad-4c9b-bd5f-3f135bb0c4a4","1521","code","Ensure FTP deployments are disabled (Ensure FTP deployments are disabled)","error","active","Checkov","2026-03-30 8:55:54 PM","2026-03-30 8:55:54 PM","2026-03-30 8:55:35 PM","refs/heads/main",
"FinOps","finops-demo-app-002","27785941-a1ad-4c9b-bd5f-3f135bb0c4a4","1520","code","Ensure that Managed identity provider is enabled for web apps (Ensure that Managed identity provider is enabled for web apps)","error","active","Checkov","2026-03-30 8:55:54 PM","2026-03-30 8:55:54 PM","2026-03-30 8:55:35 PM","refs/heads/main",
"FinOps","finops-demo-app-002","27785941-a1ad-4c9b-bd5f-3f135bb0c4a4","1519","code","Ensure that &#39;HTTP Version&#39; is the latest, if used to run the Function app (Ensure that &#39;HTTP Version&#39; is the latest, if used to run the Function app)","error","active","Checkov","2026-03-30 8:55:54 PM","2026-03-30 8:55:54 PM","2026-03-30 8:55:35 PM","refs/heads/main",
"FinOps","finops-demo-app-002","27785941-a1ad-4c9b-bd5f-3f135bb0c4a4","1518","code","Ensure Storage Account is using the latest version of TLS encryption (Ensure Storage Account is using the latest version of TLS encryption)","error","active","Checkov","2026-03-30 8:55:54 PM","2026-03-30 8:55:54 PM","2026-03-30 8:55:35 PM","refs/heads/main",
"FinOps","finops-demo-app-002","27785941-a1ad-4c9b-bd5f-3f135bb0c4a4","1517","code","Ensure Storage Accounts adhere to the naming rules (Ensure Storage Accounts adhere to the naming rules)","error","active","Checkov","2026-03-30 8:55:54 PM","2026-03-30 8:55:54 PM","2026-03-30 8:55:35 PM","refs/heads/main",
"FinOps","finops-demo-app-002","27785941-a1ad-4c9b-bd5f-3f135bb0c4a4","1516","code","Ensure default network access rule for Storage Accounts is set to deny (Ensure default network access rule for Storage Accounts is set to deny)","error","active","Checkov","2026-03-30 8:55:54 PM","2026-03-30 8:55:54 PM","2026-03-30 8:55:35 PM","refs/heads/main",
"FinOps","finops-demo-app-002","27785941-a1ad-4c9b-bd5f-3f135bb0c4a4","1515","code","Ensure the App Service Plan is zone redundant (Ensure the App Service Plan is zone redundant)","error","active","Checkov","2026-03-30 8:55:54 PM","2026-03-30 8:55:54 PM","2026-03-30 8:55:35 PM","refs/heads/main",
"FinOps","finops-demo-app-002","27785941-a1ad-4c9b-bd5f-3f135bb0c4a4","1514","code","Ensure that Azure Web App public network access is disabled (Ensure that Azure Web App public network access is disabled)","error","active","Checkov","2026-03-30 8:55:54 PM","2026-03-30 8:55:54 PM","2026-03-30 8:55:35 PM","refs/heads/main",
"FinOps","finops-demo-app-002","27785941-a1ad-4c9b-bd5f-3f135bb0c4a4","1513","code","Ensure that App Service configures health check (Ensure that App Service configures health check)","error","active","Checkov","2026-03-30 8:55:54 PM","2026-03-30 8:55:54 PM","2026-03-30 8:55:35 PM","refs/heads/main",
